Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,39400.0,39400.0,38550.0,38750.0,34697.90234375,7847664
2019-01-03,38300.0,38550.0,37450.0,37600.0,33668.15625,12471493
2019-01-04,37450.0,37600.0,36850.0,37450.0,33533.84375,14108958
2019-01-07,38000.0,38900.0,37800.0,38750.0,34697.90234375,12748997
2019-01-08,38000.0,39200.0,37950.0,38100.0,34115.8671875,12756554
2019-01-09,38650.0,39600.0,38300.0,39600.0,35459.015625,17452708
2019-01-10,40000.0,40150.0,39600.0,39800.0,35638.11328125,14731699
2019-01-11,40350.0,40550.0,39950.0,40500.0,36264.91015625,11661063
2019-01-14,40450.0,40700.0,39850.0,40050.0,35861.95703125,11984996
2019-01-15,40050.0,41100.0,39850.0,41100.0,36802.1640625,11492756
2019-01-16,41150.0,41450.0,40700.0,41450.0,37115.55859375,8491595
2019-01-17,41700.0,42100.0,41450.0,41950.0,37563.27734375,11736903
2019-01-18,42000.0,42400.0,41950.0,42300.0,37876.6796875,11029256
2019-01-21,42700.0,42750.0,41900.0,42750.0,38279.62109375,11355701
2019-01-22,42750.0,42850.0,41850.0,42150.0,37742.3671875,9964356
2019-01-23,41350.0,42250.0,41350.0,42000.0,37608.046875,11071079
2019-01-24,43050.0,43100.0,42350.0,43050.0,38548.25390625,14747623
2019-01-25,44300.0,44750.0,43750.0,44750.0,40070.4765625,22789395
2019-01-28,45000.0,45500.0,44600.0,45050.0,40339.11328125,17998914
2019-01-29,45050.0,45500.0,44350.0,45500.0,40742.0546875,16215017
2019-01-30,44800.0,46400.0,44800.0,46400.0,41547.9453125,17505980
2019-01-31,46650.0,47050.0,46150.0,46150.0,41324.09375,21621145
2019-02-01,46650.0,46950.0,46250.0,46350.0,41503.16796875,13832454
2019-02-07,46800.0,47100.0,46200.0,46200.0,41368.859375,15872001
2019-02-08,45700.0,45700.0,44650.0,44800.0,40115.24609375,12689196
2019-02-11,44500.0,45000.0,44250.0,45000.0,40294.33984375,11125044
2019-02-12,44650.0,46250.0,44650.0,46050.0,41234.5390625,13184367
2019-02-13,46400.0,46700.0,46000.0,46200.0,41368.859375,11299738
2019-02-14,46600.0,47500.0,46150.0,47500.0,42532.91796875,17259341
2019-02-15,46750.0,46850.0,45650.0,46050.0,41234.5390625,10554643
2019-02-18,46500.0,46850.0,45850.0,46200.0,41368.859375,8183728
2019-02-19,45850.0,46150.0,45450.0,45950.0,41145.00390625,6741395
2019-02-20,46750.0,47100.0,46500.0,46900.0,41995.65625,11506720
2019-02-21,46500.0,47200.0,46200.0,46950.0,42040.4296875,8694009
2019-02-22,46500.0,47150.0,46450.0,47150.0,42219.5234375,6895772
2019-02-25,47400.0,47550.0,47050.0,47350.0,42398.6015625,7484716
2019-02-26,47350.0,47450.0,46500.0,46750.0,41861.33984375,7985547
2019-02-27,47000.0,47250.0,46750.0,46750.0,41861.33984375,8045211
2019-02-28,46400.0,46500.0,45100.0,45100.0,40383.8828125,23569321
2019-03-04,46000.0,46100.0,44800.0,44850.0,40160.03125,12926539
2019-03-05,44600.0,45100.0,44150.0,44250.0,39622.765625,10612405
2019-03-06,44000.0,44300.0,43700.0,44000.0,39398.91015625,10202544
2019-03-07,43400.0,44950.0,43400.0,44450.0,39801.86328125,11049749
2019-03-08,44450.0,44800.0,43800.0,43800.0,39219.82421875,7729069
2019-03-11,44400.0,44450.0,43650.0,43650.0,39085.51171875,10717408
2019-03-12,44300.0,44950.0,44150.0,44650.0,39980.9375,11431977
2019-03-13,44250.0,44450.0,43700.0,43850.0,39264.58984375,8108343
2019-03-14,43700.0,44300.0,43550.0,43850.0,39264.58984375,18039161
2019-03-15,43800.0,44250.0,43700.0,44200.0,39577.99609375,16814163
2019-03-18,43950.0,44150.0,43450.0,43700.0,39130.28515625,8188876
2019-03-19,43750.0,43900.0,43550.0,43900.0,39309.375,7609563
2019-03-20,43800.0,44200.0,43100.0,44050.0,39443.6875,9846242
